source_path,metadata_date,filename_date,folder_date,filesystem_date,checked_sources,status,reference_date,reference_source,target_folder,target_filename,target_path,action,metadata_action,metadata_message,error
E:\Resimler\2019\01\001_17.jpg,2019-01-19 04:59:06,,2019-01-01 00:00:00,2026-03-19 12:39:34,"folder,filename,metadata,filesystem",INCONSISTENT,2019-01-01 00:00:00,folder,E:\Resimler\2019\01,001_17.jpg,,SKIP_DUPLICATE,
E:\Resimler\2019\01\002.jpg,2019-01-20 10:06:16,,2019-01-01 00:00:00,2026-03-19 08:08:30,"folder,filename,metadata,filesystem",INCONSISTENT,2019-01-01 00:00:00,folder,E:\Resimler\2019\01,002.jpg,,SKIP_DUPLICATE,
E:\Resimler\2019\01\002_01.jpg,2019-01-01 13:18:02,,2019-01-01 00:00:00,2026-03-19 12:39:27,"folder,filename,metadata,filesystem",INCONSISTENT,2019-01-01 00:00:00,folder,E:\Resimler\2019\01,002_01.jpg,,SKIP_DUPLICATE,
E:\Resimler\2019\01\002_02.jpg,2019-01-02 00:51:42,,2019-01-01 00:00:00,2026-03-19 12:39:27,"folder,filename,metadata,filesystem",INCONSISTENT,2019-01-01 00:00:00,folder,E:\Resimler\2019\01,002_02.jpg,,SKIP_DUPLICATE,
E:\Resimler\2019\01\002_03.jpg,2019-01-03 09:26:22,,2019-01-01 00:00:00,2026-03-19 12:39:28,"folder,filename,metadata,filesystem",INCONSISTENT,2019-01-01 00:00:00,folder,E:\Resimler\2019\01,002_03.jpg,,SKIP_DUPLICATE,
E:\Resimler\2019\01\002_04.jpg,2019-01-04 09:54:26,,2019-01-01 00:00:00,2026-03-19 12:39:28,"folder,filename,metadata,filesystem",INCONSISTENT,2019-01-01 00:00:00,folder,E:\Resimler\2019\01,002_04.jpg,,SKIP_DUPLICATE,
E:\Resimler\2019\01\002_05.jpg,2019-01-06 11:34:44,,2019-01-01 00:00:00,2026-03-19 12:39:28,"folder,filename,metadata,filesystem",INCONSISTENT,2019-01-01 00:00:00,folder,E:\Resimler\2019\01,002_05.jpg,,SKIP_DUPLICATE,
E:\Resimler\2019\01\002_06.jpg,2019-01-07 14:31:02,,2019-01-01 00:00:00,2026-03-19 12:39:30,"folder,filename,metadata,filesystem",INCONSISTENT,2019-01-01 00:00:00,folder,E:\Resimler\2019\01,002_06.jpg,,SKIP_DUPLICATE,
E:\Resimler\2019\01\002_07.jpg,2019-01-08 11:59:44,,2019-01-01 00:00:00,2026-03-19 12:39:30,"folder,filename,metadata,filesystem",INCONSISTENT,2019-01-01 00:00:00,folder,E:\Resimler\2019\01,002_07.jpg,,SKIP_DUPLICATE,
E:\Resimler\2019\01\002_08.jpg,2019-01-09 21:11:30,,2019-01-01 00:00:00,2026-03-19 12:39:31,"folder,filename,metadata,filesystem",INCONSISTENT,2019-01-01 00:00:00,folder,E:\Resimler\2019\01,002_08.jpg,,SKIP_DUPLICATE,
